DS43,,DS43_PL1,,DS43_PLE_490,,DS43_PLE_500,,DS43_PLE_510,,DS43_PLE_520,,DS43_PLE_530,
Wavelength (nm),Abs,Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
750,0.007411284,460,0.177311942,350,32.15958023,350,162.9629517,350,472.9875488,350,224.532486,350,62.65786362
749.5,0.006690662,460.4400024,0.287669897,350.4599915,31.75745583,350.4599915,162.0211029,350.4599915,470.1250916,350.4599915,223.4956512,350.4599915,63.21787262
749,0.007251955,461.0400085,0.168193594,351.0700073,31.2851963,351.0700073,159.9932861,351.0700073,471.2622681,351.0700073,222.8576508,351.0700073,63.38294601
748.5,0.005650385,461.4899902,0.200088039,351.5299988,31.08034325,351.5299988,159.1556854,351.5299988,467.942627,351.5299988,222.9047546,351.5299988,62.05849075
748,0.007250218,461.9400024,0.200416863,352,31.24505234,352,156.9361572,352,462.1048889,352,221.1866302,352,62.88980865
747.5,0.006916428,462.5299988,0.139878303,352.4599915,31.02032089,352.4599915,157.8610992,352.4599915,464.7332153,352.4599915,219.8192291,352.4599915,63.13187027
747,0.007594089,462.980011,0.210906908,353.0700073,30.57994652,353.0700073,157.1528168,353.0700073,460.6294556,353.0700073,217.236496,353.0700073,62.47457886
746.5,0.006932894,463.4299927,0.260088414,353.5299988,30.64812469,353.5299988,156.3768768,353.5299988,461.248291,353.5299988,216.6451874,353.5299988,62.0928421
746,0.007701106,464.019989,0.257939071,354,31.30520058,354,156.1567535,354,454.8850708,354,216.8294678,354,60.91910934
745.5,0.007575571,464.4700012,0.274008751,354.4599915,30.27242279,354.4599915,156.2639618,354.4599915,452.5254822,354.4599915,214.6580048,354.4599915,60.76063538
745,0.007865002,465.0700073,0.341163367,355.0700073,30.34554482,355.0700073,154.3536377,355.0700073,449.2701416,355.0700073,215.3482666,355.0700073,61.74897385
744.5,0.008327744,465.519989,0.432961434,355.5299988,30.52588844,355.5299988,155.1484528,355.5299988,451.044281,355.5299988,212.2767029,355.5299988,60.25840378
744,0.006758701,465.9700012,0.335590929,356,29.97901154,356,153.6591644,356,446.9680176,356,211.0966797,356,60.13489151
743.5,0.007104341,466.5599976,0.323968619,356.4599915,30.16904449,356.4599915,150.9811859,356.4599915,446.3056946,356.4599915,210.4230194,356.4599915,60.10895538
743,0.00755139,467.0100098,0.341670752,357.0700073,29.59929848,357.0700073,151.6863861,357.0700073,444.9749756,357.0700073,210.7613068,357.0700073,60.22584915
742.5,0.007206289,467.4599915,0.422148734,357.5299988,28.93227768,357.5299988,151.7411804,357.5299988,443.9903259,357.5299988,209.5655518,357.5299988,59.49023819
742,0.007498635,468.0499878,0.515505612,358,30.00289726,358,150.3437653,358,446.8959351,358,210.4158783,358,59.49651718
741.5,0.006751865,468.5,0.580312133,358.4599915,29.57613945,358.4599915,150.1950226,358.4599915,443.3644409,358.4599915,207.9584351,358.4599915,59.40138626
741,0.007078108,468.9500122,0.456583947,359.0700073,29.20524216,359.0700073,148.8388977,359.0700073,434.4206238,359.0700073,205.7434387,359.0700073,59.38197708
740.5,0.007094658,469.5499878,0.486300796,359.5299988,29.19985199,359.5299988,146.6240845,359.5299988,432.1530457,359.5299988,202.5200348,359.5299988,58.5779953
740,0.006945387,470,0.639925242,360,28.48412323,360,146.3913422,360,424.7382202,360,200.3589478,360,57.87935638
739.5,0.006415805,470.4500122,0.766093135,360.4599915,29.01323318,360.4599915,145.0421448,360.4599915,423.6304321,360.4599915,198.4645081,360.4599915,57.45529938
739,0.006760673,471.0599976,0.647819221,361.0700073,28.48440552,361.0700073,143.7688446,361.0700073,418.7527161,361.0700073,197.5844727,361.0700073,56.40413284
738.5,0.006803978,471.5100098,0.85172528,361.5299988,27.91077042,361.5299988,143.9965363,361.5299988,421.0130005,361.5299988,198.4022522,361.5299988,56.74365997
738,0.007093895,471.9599915,0.894245327,362,28.47980118,362,143.8766632,362,420.241333,362,198.0709229,362,56.48982239
737.5,0.005818231,472.5700073,0.9381724,362.4599915,28.00725174,362.4599915,144.0226898,362.4599915,418.5129089,362.4599915,199.4811096,362.4599915,56.50147629
737,0.006187725,473.0299988,0.887546778,363.0700073,27.88768768,363.0700073,142.7879944,363.0700073,412.817749,363.0700073,197.0470734,363.0700073,55.51202393
736.5,0.007010282,473.480011,1.094169497,363.5299988,27.68026733,363.5299988,140.3816528,363.5299988,409.2566833,363.5299988,195.1628571,363.5299988,55.23955536
736,0.00715597,473.9299927,1.332690954,364,26.84098434,364,137.6704254,364,404.2849731,364,190.9184113,364,54.30894852
735.5,0.00676154,474.5400085,1.280647755,364.4599915,27.43720818,364.4599915,136.9911346,364.4599915,396.5931396,364.4599915,190.2453156,364.4599915,54.20326233
735,0.007513489,475,1.400278091,365.0700073,25.80006981,365.0700073,135.2420654,365.0700073,393.4275513,365.0700073,186.0505066,365.0700073,52.84651184
734.5,0.006746528,475.4500122,1.473649502,365.5299988,26.28323174,365.5299988,133.810791,365.5299988,391.8674316,365.5299988,185.9400482,365.5299988,53.03457642
734,0.007809362,476.0599976,1.758570552,366,25.74168587,366,131.2993164,366,387.6669922,366,184.1277161,366,52.01111221
733.5,0.007288913,476.5100098,1.855192423,366.4599915,25.95553398,366.4599915,131.9384918,366.4599915,380.455658,366.4599915,182.4151611,366.4599915,52.08215714
733,0.007238742,476.9599915,2.088858604,367.0700073,25.09781456,367.0700073,129.5922546,367.0700073,378.9695435,367.0700073,179.0554047,367.0700073,51.75350952
732.5,0.007642457,477.5700073,2.222664833,367.5299988,24.92552567,367.5299988,129.2605438,367.5299988,376.3607788,367.5299988,179.385437,367.5299988,51.13843536
732,0.007569645,478.0299988,2.207776308,368,25.67362976,368,127.4298706,368,375.4252319,368,177.4924164,368,50.12845993
731.5,0.007823383,478.480011,2.39153409,368.4599915,25.21740532,368.4599915,126.4821625,368.4599915,371.4134216,368.4599915,175.1333313,368.4599915,50.04029465
731,0.00755945,478.9299927,2.983477592,369.0700073,24.61050415,369.0700073,124.3761139,369.0700073,361.6812744,369.0700073,173.8538513,369.0700073,49.01012802
730.5,0.006856229,479.5400085,2.946106434,369.5299988,23.93863678,369.5299988,123.715332,369.5299988,363.4016113,369.5299988,171.3383026,369.5299988,48.3091774
730,0.007158733,480,3.289473772,370,24.46022224,370,122.1632462,370,356.1513672,370,169.4589691,370,48.06918335
